코드,거래금액,읍면동
50110101,136302.0,일도일동
50110102,32269.0,일도이동
50110103,59242.0,이도일동
50110104,71972.0,이도이동
50110105,25025.0,삼도일동
50110106,30978.0,삼도이동
50110107,29465.0,건입동
50110108,27860.0,용담일동
50110109,18000.0,용담이동
50110110,34333.0,용담삼동
50110111,28760.0,화북일동
50110112,75909.0,화북이동
50110113,27750.0,삼양일동
50110114,35958.0,삼양이동
50110117,90000.0,아라일동
50110118,13333.0,아라이동
50110119,39000.0,오라일동
50110120,46500.0,오라이동
50110122,132875.0,노형동
50110123,174881.0,외도일동
50110126,49900.0,이호이동
50110127,40000.0,도두일동
50110129,17964.0,도남동
50110130,29878.0,도련일동
50110131,35000.0,도련이동
50110133,4963.0,회천동
50110134,492966.0,오등동
50110136,56000.0,영평동
50110137,89191.0,연동
50110138,115300.0,도평동
50110139,362750.0,해안동
50110250,85592.0,한림읍
50110253,72517.0,애월읍
50110256,27900.0,구좌읍
50110259,35077.0,조천읍
50110310,54560.0,한경면
50110320,8750.0,추자면
50130101,26449.0,서귀동
50130102,40707.0,법환동
50130103,33352.0,서호동
50130104,28000.0,호근동
50130105,28910.0,동홍동
50130106,31500.0,서홍동
50130108,50000.0,하효동
50130111,185100.0,토평동
50130112,127705.0,중문동
50130116,122000.0,강정동
50130250,25905.0,대정읍
50130253,27138.0,남원읍
50130259,107267.0,성산읍
50130310,47985.0,안덕면
50130320,36000.0,표선면
