가게명,대분류,중분류,소분류,mean_score,주소,Latitude,Longitude,total review,good service,bad service,good traffic,bad traffic,good cost,bad cost,good taste,bad taste,good_senti,bad_senti
상춘재,식당,한식,"돌문어 비빔밥, 게장",4.1,제주특별자치도 제주시 조천읍 선진길 26,33.4586588,126.70484350000001,355.0,100.0,0.0,0.0,0.0,67.0,33.0,75.0,25.0,3.0,1.0
남양수산,식당,일식,"회, 고등어",4.6,제주특별자치도 서귀포시 성산읍 고성동서로56번길 11,33.4501348,126.9142244,108.0,50.0,50.0,0.0,0.0,100.0,0.0,77.0,23.0,3.0,1.0
선흘곶,식당,한식,정통 한정식,4.5,제주특별자치도 제주시 조천읍 동백로 102,33.508187400000004,126.718049,163.0,20.0,80.0,0.0,0.0,25.0,75.0,80.0,20.0,2.0,2.0
스시호시카이,식당,일식,"회, 초밥, 오마카세",4.6,제주특별자치도 제주시 오남로 90,33.4812863,126.51676859999999,105.0,0.0,100.0,0.0,0.0,100.0,0.0,77.0,23.0,2.0,2.0
미영이네식당,식당,일식,"회, 고등어, 방어, 참치",4.5,제주특별자치도 서귀포시 대정읍 하모항구로 42,33.2176507,126.2499045,311.0,0.0,0.0,0.0,0.0,75.0,25.0,59.0,41.0,2.0,1.0
오드랑베이커리,카페,-,-,4.0,제주특별자치도 제주시 조천읍 조함해안로 552-3,33.5424691,126.6718069,592.0,25.0,75.0,0.0,0.0,20.0,80.0,59.0,41.0,1.0,2.0
송림반점,식당,중식,"정통 중식, 일반 중식",4.3,제주특별자치도 제주시 관덕로 2-1,33.5124146,126.5198134,74.0,0.0,0.0,100.0,0.0,100.0,0.0,31.0,69.0,3.0,1.0
피어22,식당,일식,"딱새우, 해산물",4.0,제주특별자치도 제주시 한림읍 금능7길 22 금능어촌계복지회관 잠녀의집,33.3899106,126.2278403,132.0,100.0,0.0,0.0,0.0,40.0,60.0,43.0,57.0,2.0,1.0
카페태희,카페,-,-,4.4,제주특별자치도 제주시 애월읍 곽지3길 27,33.449350800000005,126.3044233,119.0,0.0,0.0,100.0,0.0,0.0,100.0,80.0,20.0,2.0,2.0
커피파인더,카페,-,-,4.4,제주특별자치도 제주시 서광로32길 20,33.498581099999996,126.5287567,116.0,100.0,0.0,0.0,0.0,100.0,0.0,88.0,12.0,4.0,0.0
밀리우,식당,양식,"프랑스 음식, 스테이크",4.6,제주특별자치도 서귀포시 표선면 민속해안로 537 1F,33.3234478,126.84477959999998,505.0,97.0,3.0,0.0,0.0,60.0,40.0,78.0,22.0,3.0,1.0
엄마손횟집,식당,일식,"해산물, 회",4.5,제주특별자치도 제주시 연동3길 35,33.486674199999996,126.48816869999999,113.0,0.0,0.0,0.0,0.0,50.0,50.0,73.0,27.0,2.0,1.0
