age,default,balance,housing,loan,day,duration,campaign,pdays,previous,y,cellular,telephone,unknown,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep
58,0,2143,1,0,5,261,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,0,29,1,0,5,151,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,0,2,1,1,5,76,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47,0,1506,1,0,5,92,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,0,1,0,0,5,198,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,0,231,1,0,5,139,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28,0,447,1,1,5,217,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,1,2,1,0,5,380,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
58,0,121,1,0,5,50,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,0,593,1,0,5,55,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
41,0,270,1,0,5,222,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
29,0,390,1,0,5,137,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,0,6,1,0,5,517,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
58,0,71,1,0,5,71,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
57,0,162,1,0,5,174,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,0,229,1,0,5,353,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
45,0,13,1,0,5,98,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
57,0,52,1,0,5,38,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,0,60,1,0,5,219,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,0,0,1,0,5,54,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28,0,723,1,1,5,262,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
56,0,779,1,0,5,164,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32,0,23,1,1,5,160,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
25,0,50,1,0,5,342,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,0,0,1,1,5,181,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,0,-372,1,0,5,172,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,0,255,1,0,5,296,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
52,0,113,1,1,5,127,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
46,0,-246,1,0,5,255,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,0,265,1,1,5,348,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
57,0,839,0,1,5,225,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
49,0,378,1,0,5,230,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,0,39,1,1,5,208,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
59,0,0,1,0,5,226,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,0,10635,1,0,5,336,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
57,0,63,1,0,5,242,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
25,0,-7,1,0,5,365,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,0,-3,0,0,5,1666,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,0,506,1,0,5,577,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37,0,0,1,0,5,137,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,0,2586,1,0,5,160,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50,0,49,1,0,5,180,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,0,104,1,0,5,22,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
54,0,529,1,0,5,1492,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
58,0,96,1,0,5,616,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,0,-171,1,0,5,242,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
58,0,-364,1,0,5,355,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
44,0,0,1,0,5,225,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
